Back  A_Landscape	A_Bonus	A_Points	E_Points	E_Season	E_Landscape	E_Subject
Association	T2S	NULL  0	0	ENERGIE	1*T2S	AE
Association	TM	NULL 0	1	EDIM	2*EC	BDS
Association	NULL	NULL 1	0	IMSI	1*T2S	NULL
Association	JOKER	NULL  -2	0	ENERGIE	1*TM	NULL
Association	TM	NULL 0	0	EDIM	1*T2S	BDS
Association	EC	NULL 0	1	GMC	2*CS	BDF
Association	T2S	NULL  0	0	ENERGIE	CS	AE
Association	T2S	NULL  0	1	ENERGIE	2*TM	AE
Association	CS	NULL 0	0	INFO	1*CS	CLUBS
Association	NULL  MOVE_HOURS	0	0	INFO	CS	BDS
Association	CS	NULL 0	1	INFO	2*T2S	CLUBS
Association	EC	NULL 0	0	GMC	1*EC	BDF
Association	NULL	NULL 1	0	EDIM	1*EC	NULL
Association	EC	NULL 0	0	GMC	1*TM	BDF
Association	TM	NULL 0	0	EDIM	1*TM	BDS
Association	NULL	EARN_HOURS 0	1	GMC	1*T2S	CLUBS
Association	CS	NULL 0	0	INFO	1*EC	CLUBS
Association	NULL  KEEP_IN_HAND	2	1	IMSI	1*EC	CLUBS
Materials	T2S	NULL  0	0	ENERGIE	2*TM	SERVER
Materials	CS	NULL 0	0	INFO	2*T2S	HYDROGEN
Materials	EC	NULL 0	1	GMC	1*EC	WORKSHOP
Materials	NULL	NULL 1	0	ENREGIE	1*EC	MECANICAL_PIECES
Materials	TM	NULL 0	1	EDIM	1*TM	LATHE
Materials	NULL  KEEP_IN_HAND	2	1	IMSI	1*TM	NULL
Materials	T2S	NULL  0	1	ENERGIE	T2S	MECANICAL_PIECES
Materials	NULL  MOVE_HOURS	0	0	EDIM	1*CS	LATHE
Materials	TM  NULL	0	0	EDIM	1*T2S	LATHE
Materials	NULL  NULL  0	1	IMSI	1*T2S	NULL
Materials	T2S NULL	0	0	ENERGIE	1*CS	MECANICAL_PIECES
Materials	TM  NULL	0	0	EDIM	2*EC	SERVER
Materials	EC  NULL	0	0	GMC	2*CS	HYDROGEN
Materials	CS  NULL	0	0	INFO	1*EC	VR_HEADSET
Materials	EC  NULL	0	0	GMC	1*TM	WORKSHOP
Materials	JOKER NULL	-2	0	INFO	1*TM	NULL
Materials	CS  NULL	0	1	INFO	1*CS	VR_HEADSET
Materials	NULL	EARN_HOURS 0	0	GMC	1*T2S	WORKSHOP
Teachers	CS	NULL  0	0	INFO	1*EC	PAIRE
Teachers	EC	NULL  0	1	GMC	2*CS	GECHTER
Teachers	TM	NULL  0	1	EDIM	2*EC	BAUME
Teachers	T2S	NULL 0	0	ENERGIE	1*T2S	ROTH
Teachers	CS	NULL  0	1	INFO	2*T2S	PAIRE
Teachers	NULL KEEP_IN_HAND	2	1	IMSI	1*CS	NULL
Teachers	NULL NULL	1	0	INFO	1*EC	ROTH
Teachers	NULL MOVE_HOURS	0	0	EDIM	1*CS	BAUME
Teachers	EC NULL	0	0	GMC	1*TM	GECHTER
Teachers	JOKER  NULL	-2	0	ENERGIE	1*TM	NULL
Teachers	NULL	EARN_HOURS  0	0	GMC	1*T2S	GECHTER
Teachers	T2S	NULL 0	0	ENERGIE	1*CS	ROTH
Teachers	CS NULL	0	0	INFO	1*CS	PAIRE
Teachers	T2S  NULL	0	1	ENERGIE	2*TM	ROTH
Teachers	TM NULL	0	0	EDIM	1*TM	BAUME
Teachers	NULL NULL 1	1	IMSI	1*EC	NULL
Teachers	EC NULL	0	0	GMC	1*EC	GECHTER
Teachers	TM NULL	0	0	EDIM	1*T2S	BAUME
Certificates	NULL	EARN_HOURS  0	0	INFO	1*T2S	2
Certificates	T2S	NULL 0	1	ENERGIE	1*T2S	1
Certificates	TM	NULL  0	1	EDIM	1*TM	1
Certificates	EC	NULL  0	1	GMC	1*EC	1
Certificates	EC	NULL  0	0	GMC	1*TM	1
Certificates	T2S	NULL 0	0	ENERGIE	2*TM	3
Certificates	JOKER	NULL -2	0	GMC	1*TM	1
Certificates	TM	NULL  0	0	EDIM	1*T2S	1
Certificates	NULL	NULL  1	0	ENERGIE	1*EC	2
Certificates	NULL KEEP_IN_HAND	2	1	IMSI	1*CS	0
Certificates	TM	NULL  0	0	EDIM	2*EC	3
Certificates	CS	NULL  0	0	INFO	2*T2S	3
Certificates	CS	NULL  0	1	INFO	1*CS	1
Certificates	EC	NULL  0	0	GMC	2*CS	3
Certificates	T2S	NULL 0 0 ENERGIE	1*CS	1
Certificates	CS	NULL  0	0	INFO	1*EC	1
Certificates	NULL	NULL  1	0	IMSI	1*EC	0
Certificates	NULL MOVE_HOURS	0	0	EDIM	1*CS	2
